session_pitch,time,rear_ankle_angle_x,rear_ankle_angle_y,rear_ankle_angle_z,elbow_angle_x,elbow_angle_y,elbow_angle_z,rear_hip_angle_x,rear_hip_angle_y,rear_hip_angle_z,rear_knee_angle_x,rear_knee_angle_y,rear_knee_angle_z,shoulder_angle_x,shoulder_angle_y,shoulder_angle_z,wrist_angle_x,wrist_angle_y,wrist_angle_z,pelvis_angle_x,pelvis_angle_y,pelvis_angle_z,lead_ankle_angle_x,lead_ankle_angle_y,lead_ankle_angle_z,glove_elbow_angle_x,glove_elbow_angle_y,glove_elbow_angle_z,lead_hip_angle_x,lead_hip_angle_y,lead_hip_angle_z,lead_knee_angle_x,lead_knee_angle_y,lead_knee_angle_z,glove_shoulder_angle_x,glove_shoulder_angle_y,glove_shoulder_angle_z,glove_wrist_angle_x,glove_wrist_angle_y,glove_wrist_angle_z,torso_angle_x,torso_angle_y,torso_angle_z,torso_pelvis_angle_x,torso_pelvis_angle_y,torso_pelvis_angle_z,pkh_time,fp_10_time,fp_100_time,MER_time,BR_time,MIR_time
1031_2,0.0556,103.0215,21.2289,3.7895,97.0315,0,37.2914,-28.1341,-1.7646,11.397,29.5418,0,0,10.3924,22.0966,-51.9037,22.3334,5.1712,0,9.0725,-2.3167,26.4016,102.6473,8.3159,6.7697,93.2903,0,14.4781,-5.8442,-10.6067,10.7811,11.2769,0,0,1.725,18.9429,-42.9474,4.4519,-1.7599,0,3.4168,-2.8532,24.9929,5.7266,-0.6185,1.3732,0.625,1.1806,1.1917,1.3056,1.3389,1.3778
1031_2,0.0583,103.1202,21.0143,3.7343,97.022,0,37.4943,-28.2491,-1.7798,11.5667,29.6727,0,0,10.3499,22.0999,-51.8087,22.1714,5.1756,0,9.1323,-2.2668,26.3193,102.7193,8.2986,6.7338,93.3055,0,14.5786,-5.9039,-10.6113,10.914,11.2992,0,0,1.7164,18.9266,-42.8492,4.2666,-1.8908,0,3.4166,-2.8365,24.8682,5.7884,-0.6542,1.4136,0.625,1.1806,1.1917,1.3056,1.3389,1.3778
1031_2,0.0611,103.2298,20.808,3.6748,97.0128,0,37.7189,-28.3647,-1.799,11.7346,29.8149,0,0,10.3219,22.1009,-51.7159,21.9854,5.1544,0,9.1897,-2.2159,26.2341,102.7987,8.3,6.6884,93.3209,0,14.6881,-5.9653,-10.6212,11.0268,11.3334,0,0,1.7175,18.9098,-42.7518,4.048,-2.0438,0,3.4155,-2.8198,24.7407,5.8486,-0.6907,1.4538,0.625,1.1806,1.1917,1.3056,1.3389,1.3778
1031_2,0.0639,103.3489,20.6118,3.6134,97.0074,0,37.9523,-28.4799,-1.82,11.8954,29.9674,0,0,10.3107,22.1019,-51.6364,21.8108,5.1144,0,9.2442,-2.1646,26.1457,102.8842,8.3209,6.6275,93.3403,0,14.794,-6.0284,-10.6304,11.1196,11.3792,0,0,1.7281,18.8933,-42.6633,3.8276,-2.2046,0,3.4137,-2.803,24.6105,5.9066,-0.7276,1.4936,0.625,1.1806,1.1917,1.3056,1.3389,1.3778
1031_2,0.0667,103.4766,20.4277,3.5527,97.0084,0,38.1832,-28.5941,-1.841,12.045,30.1296,0,0,10.316,22.105,-51.5773,21.6764,5.0625,0,9.2959,-2.1133,26.0542,102.9746,8.3618,6.5468,93.3667,0,14.8865,-6.0934,-10.634,11.1924,11.4365,0,0,1.7474,18.878,-42.5902,3.6324,-2.3607,0,3.4116,-2.7861,24.4777,5.9619,-0.7642,1.5328,0.625,1.1806,1.1917,1.3056,1.3389,1.3778
1031_2,0.0694,103.6119,20.258,3.4951,97.0172,0,38.4016,-28.7067,-1.8607,12.1804,30.3013,0,0,10.3352,22.1112,-51.5415,21.6017,5.0044,0,9.3444,-2.0626,25.9593,103.0691,8.4231,6.4444,93.4022,0,14.9592,-6.1604,-10.6287,11.2454,11.5052,0,0,1.7747,18.8643,-42.5364,3.4828,-2.5015,0,3.4096,-2.769,24.3425,6.014,-0.8001,1.5711,0.625,1.1806,1.1917,1.3056,1.3389,1.3778
1031_2,0.0722,103.7541,20.1049,3.4428,97.0341,0,38.5997,-28.8176,-1.8784,12.3001,30.4826,0,0,10.3634,22.1212,-51.5279,21.5966,4.9445,0,9.3899,-2.0127,25.8611,103.1671,8.5048,6.3207,93.4481,0,15.009,-6.2294,-10.6128,11.2788,11.5854,0,0,1.8085,18.8527,-42.5037,3.3915,-2.6196,0,3.4079,-2.7516,24.2052,6.0625,-0.8348,1.6083,0.625,1.1806,1.1917,1.3056,1.3389,1.3778
1031_2,0.075,103.9026,19.9702,3.3979,97.0585,0,38.7717,-28.9267,-1.8938,12.404,30.6738,0,0,10.3945,22.1346,-51.5316,21.6613,4.8856,0,9.4321,-1.964,25.7592,103.2682,8.6069,6.1782,93.5046,0,15.0361,-6.3005,-10.5863,11.2928,11.677,0,0,1.8476,18.8432,-42.4914,3.3638,-2.7104,0,3.4069,-2.7337,24.0656,6.1071,-0.8677,1.6441,0.625,1.1806,1.1917,1.3056,1.3389,1.3778
1031_2,0.0778,104.0564,19.8556,3.3616,97.089,0,38.9134,-29.0342,-1.9071,12.4927,30.8758,0,0,10.4217,22.1508,-51.5456,21.7882,4.8283,0,9.4712,-1.9167,25.6536,103.3724,8.7289,6.0213,93.571,0,15.0433,-6.3736,-10.5507,11.288,11.7801,0,0,1.8905,18.8358,-42.4969,3.3983,-2.7723,0,3.4067,-2.7151,23.9241,6.1476,-0.8985,1.6783,0.625,1.1806,1.1917,1.3056,1.3389,1.3778
1031_2,0.0806,104.214,19.7618,3.3351,97.1235,0,39.0223,-29.1404,-1.9189,12.5681,31.0893,0,0,10.4386,22.1685,-51.5614,21.9631,4.7718,0,9.5071,-1.871,25.544,103.4798,8.8702,5.8555,93.646,0,15.0353,-6.4486,-10.5082,11.265,11.8947,0,0,1.9358,18.8303,-42.5165,3.4883,-2.8058,0,3.4073,-2.6957,23.7806,6.184,-0.9267,1.7106,0.625,1.1806,1.1917,1.3056,1.3389,1.3778
1031_2,0.0833,104.3736,19.689,3.3187,97.1601,0,39.0974,-29.2456,-1.93,12.6322,31.3152,0,0,10.4399,22.1859,-51.5707,22.1682,4.7137,0,9.5398,-1.8271,25.4302,103.5906,9.0298,5.6871,93.7279,0,15.018,-6.5252,-10.462,11.2249,12.0207,0,0,1.9819,18.8265,-42.5455,3.6233,-2.8135,0,3.4086,-2.6751,23.6354,6.2161,-0.9518,1.7406,0.625,1.1806,1.1917,1.3056,1.3389,1.3778
